Symbol,Name,Qty,Avg Cost,Total Cost,Price,Day Chg $,Day Chg %,Market Value,Unrealized P&L $,Unrealized P&L %,% Portfolio
AMZN-C,AMAZON.COM INC CDR C$HDG,60.0,25.84,1550.4,26.23,-0.25,-0.944,1573.8,23.4,1.509,9.4
BLDP-C,BALLARD POWER SYSTEMS INC,200.0,5.649,1129.75,3.87,-0.21,-5.147,774.0,-355.75,-31.489,6.9
CRM-C,SALESFORCE CDR C$HDG,30.0,14.287,428.6,13.83,0.58,4.377,414.9,-13.7,-3.196,2.6
CRWV-C,COREWEAVE INC,50.0,17.247,862.35,12.51,-0.94,-6.989,625.5,-236.85,-27.466,5.2
MSFT-C,MICROSOFT CORP CDR C$HDG,30.0,27.368,821.05,27.79,0.44,1.609,833.7,12.65,1.541,5.0
NKE-C,NIKE INC CDR C$HDG,160.0,12.704,2032.65,7.66,0.1,1.323,1225.6,-807.05,-39.704,12.3
NOWS-C,SERVICENOW INC CDR C$HDG,45.0,14.967,673.5,13.99,0.49,3.63,629.55,-43.95,-6.526,4.1
NVDA-C,NVIDIA CORP CDR C$HDG,90.0,32.95,2965.53,44.03,0.1,0.228,3962.7,997.17,33.625,18.0
QQC-C,INVESCO NSDQ 100 INDX ETF,20.0,42.533,850.66,46.38,-0.65,-1.382,927.6,76.94,9.045,5.2
SMCI-C,SUPER MICRO CMP CDR C$HDG,45.0,9.615,432.66,9.02,-0.61,-6.334,405.9,-26.76,-6.185,2.6
UNH-C,UNITEDHEALTH CDR C$HDG,100.0,13.559,1355.85,19.21,0.1,0.523,1921.0,565.15,41.682,8.2
VFV-C,VANGUARD S&P 500 IDX ETF,11.0,163.618,1799.8,185.46,-0.17,-0.092,2040.06,240.26,13.349,10.9
GRAB-U,GRAB HOLDINGS LTD CL-A,170.0,4.519,768.18,3.35,-0.005,-0.149,568.65,-199.53,-25.974,4.7
NVDA-U,NVIDIA CORP,4.0,147.65,590.6,196.89,0.38,0.193,787.56,196.96,33.349,3.6
QSI-U,QUANTUM-SI INC CL-A,20.0,1.021,20.42,0.75,-0.03,-3.817,15.07,-5.35,-26.2,0.1
VLN-U,VALENS SEMICONDUCTOR LTD,60.0,2.989,179.35,1.49,-0.09,-5.696,89.4,-89.95,-50.153,1.1
